City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
652,Leshukonskoye,RU,64.8989,45.7622,77.58,53,16,8.9,few clouds
653,Touros,BR,-5.1989,-35.4608,71.46,91,23,10.07,few clouds
654,Usinsk,RU,65.9939,57.5281,73.38,54,62,11.3,broken clouds
655,Serta,PT,39.8085,-8.0988,61.43,87,0,1.99,clear sky
656,Collie,AU,-33.3667,116.15,56.28,71,89,10.09,overcast clouds
657,Belmonte,BR,-15.8631,-38.8828,70.92,84,23,6.93,few clouds
658,Haimen,CN,23.1935,116.6142,86.11,74,19,7.14,few clouds
659,Sawtell,AU,-30.3833,153.1,68.02,64,27,10.36,scattered clouds
660,Ponta Delgada,PT,37.7333,-25.6667,72.32,94,75,0.0,broken clouds
661,Frontera,MX,26.9333,-101.45,87.33,45,3,1.01,clear sky
662,College,US,64.8569,-147.8028,57.15,82,75,8.05,broken clouds
663,Tibu,CO,8.639,-72.7358,73.36,100,94,3.53,overcast clouds
664,Camocim,BR,-2.9022,-40.8411,73.85,88,1,10.22,clear sky
665,Naze,JP,28.3667,129.4833,83.5,70,88,3.02,light rain
666,Iberia,US,29.9502,-91.7507,78.96,88,0,5.75,clear sky
667,Benghazi,LY,32.1167,20.0667,80.47,68,0,8.61,clear sky
668,Hambantota,LK,6.1241,81.1185,86.34,74,40,13.8,scattered clouds
669,Itoman,JP,26.1247,127.6694,89.62,77,75,12.66,broken clouds
670,Baena,ES,37.6167,-4.3225,77.65,58,0,0.31,clear sky
671,Nizhniy Odes,RU,63.6445,54.856,78.66,49,90,6.89,overcast clouds
672,El Fuerte,MX,26.4189,-108.6194,78.96,73,100,3.29,overcast clouds
673,Marzuq,YE,14.4,46.4667,80.26,54,76,2.84,broken clouds
674,Maceio,BR,-9.6658,-35.7353,71.04,94,40,3.44,scattered clouds
675,Magistralnyy,RU,56.1725,107.4458,46.71,95,99,5.97,light rain
676,Guangyuan,CN,32.442,105.823,91.78,58,44,10.07,scattered clouds
677,Hit,IQ,33.6416,42.8251,108.55,13,21,10.31,few clouds
678,Altamira,BR,-3.2033,-52.2064,71.1,90,10,2.04,clear sky
679,Jacareacanga,BR,-6.2222,-57.7528,73.76,60,34,2.15,scattered clouds
680,Tsabong,BW,-26.0217,22.401,56.08,32,95,8.46,overcast clouds
681,Lodja,CD,-3.4833,23.4333,75.92,42,33,0.92,scattered clouds
682,Tolaga Bay,NZ,-38.3667,178.3,57.07,63,77,5.39,broken clouds
683,Sharjah,AE,25.3573,55.4033,100.69,44,8,11.5,clear sky
684,Visnes,NO,59.3556,5.2242,54.21,76,75,23.02,broken clouds
685,La Plata,AR,-34.9215,-57.9545,50.02,75,1,5.97,clear sky
686,Cascais,PT,38.6979,-9.4215,68.94,88,59,10.0,broken clouds
687,Kapit,MY,2.0167,112.9333,86.63,60,97,3.33,light rain
688,Yarmouth,US,41.7057,-70.2286,78.91,87,0,9.22,clear sky
689,Brae,GB,60.3964,-1.353,52.54,79,21,10.65,few clouds
690,Kumluca,TR,36.3703,30.2869,85.48,65,0,3.33,clear sky
691,Kampot,KH,10.6167,104.1833,84.25,75,100,7.63,moderate rain
692,Cananeia,BR,-25.0147,-47.9267,62.31,89,97,4.54,overcast clouds
693,Itarema,BR,-2.9248,-39.9167,76.55,83,1,13.04,clear sky
694,Malpura,IN,26.2833,75.3833,89.65,57,14,4.99,few clouds
